scenario_class,pathway,obs_layout,response_count,unique_scenarios,median_sd_eta,median_abs_lnM_T,median_abs_lnM_S,median_abs_lnM_response_time
heterogeneous leakage,Lagging Darcy with leakage,standard4,499,166,0.2812116088240953,0.6391929057519481,0.31984347501283,0.5363409897169218
heterogeneous leakage,Theis confined,dense5,388,120,0.5044902233628058,0.6466132961851461,0.30892300518586197,0.4487027187597225
heterogeneous leakage,Theis confined,far4,322,118,0.5159972922978981,1.0276924122442717,0.59755326716344,0.48819060415352655
heterogeneous leakage,Theis confined,mixed4,253,122,0.5310067529454005,0.8614863360300867,0.4633473756536631,0.4915925410854581
heterogeneous leakage,Theis confined,near4,319,111,0.5134017313368464,0.5667075656783975,0.2502259931788033,0.388789336596852
heterogeneous leakage,Theis confined,sparse3,236,117,0.579043164957098,0.7810506604493482,0.39818642647725355,0.43239153338706304
heterogeneous leakage,Theis confined,standard4,412,130,0.5208555154729533,0.7569271599677387,0.4511524883344298,0.40114881719476064
heterogeneous storage,Hantush-Jacob leaky,dense5,88,72,0.6169619951706353,0.39386799252621163,0.32067771797555267,0.36498953547634105
heterogeneous storage,Hantush-Jacob leaky,far4,106,71,0.6697864290609798,0.46394253969487387,0.4829747766549014,0.45151937065899894
heterogeneous storage,Hantush-Jacob leaky,mixed4,78,62,0.6070901918188629,0.7883962492148768,0.4697298652212909,0.40304608730413016
heterogeneous storage,Hantush-Jacob leaky,near4,56,46,0.6957403750906663,0.38456853585659634,0.302279071131211,0.45332221000146444
heterogeneous storage,Hantush-Jacob leaky,sparse3,68,58,0.5970687255047264,0.4012489259819176,0.4403943240767402,0.42703801878980746
heterogeneous storage,Hantush-Jacob leaky,standard4,68,51,0.6128479798198012,0.42543135854832836,0.3082461675892886,0.37176746418197015
heterogeneous storage,Lagging Darcy no-leakage,dense5,699,166,0.3099341434598727,0.2547575514818431,0.2580486011285705,0.4486030519202958
heterogeneous storage,Lagging Darcy no-leakage,far4,501,165,0.3633378440393378,0.348846632692835,0.2543825746069348,0.4710073429426015
heterogeneous storage,Lagging Darcy no-leakage,mixed4,497,167,0.2653380092149753,0.2452945898470702,0.254774061107378,0.4292439418770183
heterogeneous storage,Lagging Darcy no-leakage,near4,582,162,0.2657499867253631,0.19566581507509273,0.21792758199283305,0.3846262063176211
heterogeneous storage,Lagging Darcy no-leakage,sparse3,401,167,0.3180090224995789,0.3076450573891717,0.2845020043156408,0.4814493940106211
heterogeneous storage,Lagging Darcy no-leakage,standard4,577,164,0.3176757526749543,0.2507981737218027,0.2287801150526662,0.433260692974418
heterogeneous storage,Lagging Darcy with leakage,dense5,642,166,0.25684199141032005,0.3041532404775785,0.27659518449918835,0.4960113025880244
heterogeneous storage,Lagging Darcy with leakage,far4,439,160,0.2899638325375349,0.4292741409422209,0.3680012980140148,0.5294779216210783
heterogeneous storage,Lagging Darcy with leakage,mixed4,488,167,0.2117686719552876,0.29979909557760454,0.2963071927668188,0.45507476944932745
heterogeneous storage,Lagging Darcy with leakage,near4,592,167,0.20319004874358093,0.27688286408324203,0.2322615901182095,0.4411780154481832
heterogeneous storage,Lagging Darcy with leakage,sparse3,370,163,0.2829781324873547,0.3741937541032705,0.33680481614700997,0.49752593449110766
heterogeneous storage,Lagging Darcy with leakage,standard4,513,166,0.2648850166196671,0.3059193997133534,0.2765481450625277,0.4680680707008515
heterogeneous storage,Theis confined,dense5,475,133,0.4755229444678244,0.2968504261338152,0.2431338399921557,0.3422950310002944
heterogeneous storage,Theis confined,far4,392,120,0.5918755317834762,0.40848134931967367,0.2689851291184885,0.40080208997270894
heterogeneous storage,Theis confined,mixed4,344,125,0.5876381532653475,0.3899692114683781,0.24770267569471027,0.4202121714133584
heterogeneous storage,Theis confined,near4,350,124,0.45004006763029014,0.2664031878260875,0.19033146931537648,0.36021762556344117
