scenario_class,pathway,obs_layout,response_count,unique_scenarios,median_sd_eta,median_abs_lnM_T,median_abs_lnM_S,median_abs_lnM_response_time
homogeneous confined,Lagging Darcy with leakage,standard4,512,167,0.26638951717496007,0.13266643035158415,0.0650395512948942,0.1883176136114846
homogeneous confined,Theis confined,dense5,459,129,0.5730351837735242,0.1681625317595532,0.0655952578796668,0.1845981792996525
homogeneous confined,Theis confined,far4,391,118,0.5772833021107844,0.2396786957107037,0.0634362504138453,0.1894721966785086
homogeneous confined,Theis confined,mixed4,353,127,0.5539210744603005,0.2796417900026238,0.0936090436565371,0.235530169267554
homogeneous confined,Theis confined,near4,362,127,0.465387031354642,0.1331192186971489,0.03775827819098415,0.14601773888822306
homogeneous confined,Theis confined,sparse3,295,125,0.5361871122326882,0.2238952011611461,0.0727760763583855,0.2142208722820248
homogeneous confined,Theis confined,standard4,417,122,0.4896359436954976,0.1621908997469469,0.0435412956319268,0.1597856410682797
vertical leakage,Hantush-Jacob leaky,dense5,210,107,0.4744759018526194,0.4528181700324578,0.2224509218342938,0.2478125307244482
vertical leakage,Hantush-Jacob leaky,far4,213,111,0.3911968814399373,0.6991148636538583,0.4439565424583814,0.2617167484590509
vertical leakage,Hantush-Jacob leaky,mixed4,141,85,0.4732242037182872,0.6745210786437046,0.4001470848118825,0.2912814472955288
vertical leakage,Hantush-Jacob leaky,near4,181,96,0.5131797908908413,0.3668511711545318,0.1495416991178027,0.2355728404862108
vertical leakage,Hantush-Jacob leaky,sparse3,139,91,0.409969092769994,0.5111645517756138,0.2944596660014772,0.241642806604438
vertical leakage,Hantush-Jacob leaky,standard4,268,120,0.5072134880183803,0.47671730390277195,0.24244799942954445,0.22254621416594184
vertical leakage,Lagging Darcy no-leakage,dense5,453,130,0.3972036258186473,0.3418616263168461,0.2954944367644576,0.2958046640225774
vertical leakage,Lagging Darcy no-leakage,far4,292,124,0.4809708575757601,0.8804337311987624,0.5196248476121341,0.5556449649372861
vertical leakage,Lagging Darcy no-leakage,mixed4,293,122,0.3978629749531139,0.4347590590956269,0.3156481409358601,0.3716565040344879
vertical leakage,Lagging Darcy no-leakage,near4,431,130,0.4278754631668224,0.2397173724072016,0.248272080738621,0.2638188534561957
vertical leakage,Lagging Darcy no-leakage,sparse3,250,127,0.4636946684016787,0.5229136767440252,0.33877926955575266,0.35976725366600204
vertical leakage,Lagging Darcy no-leakage,standard4,442,136,0.5287369243726624,0.5817077153754945,0.38261435145440803,0.41375932243218816
vertical leakage,Lagging Darcy with leakage,dense5,659,167,0.2147665483943428,0.2723849109158262,0.1787392228806394,0.2824230012367796
vertical leakage,Lagging Darcy with leakage,far4,442,159,0.31238096730784354,1.1123936372898584,0.6380218599362657,0.5178094280891805
vertical leakage,Lagging Darcy with leakage,mixed4,493,166,0.1651854551369471,0.4335689212629983,0.2579141270178731,0.311141160194395
vertical leakage,Lagging Darcy with leakage,near4,569,166,0.1877325215670872,0.1749791686139633,0.1141493220097192,0.2382166199660912
vertical leakage,Lagging Darcy with leakage,sparse3,373,164,0.2834650832206957,0.5335458698039809,0.2141289511784937,0.3186555109791505
vertical leakage,Lagging Darcy with leakage,standard4,514,166,0.33529981958151367,0.59839547516387,0.21162129590335355,0.37854065584620766
vertical leakage,Theis confined,dense5,401,123,0.5045756439943285,0.5547254968133248,0.2582309448801005,0.3216075407674171
vertical leakage,Theis confined,far4,343,122,0.5160320721569188,1.067010700382899,0.573182066560481,0.4257552624371155
vertical leakage,Theis confined,mixed4,276,115,0.5825427500284602,0.7490727128478623,0.34769590517279175,0.36126476071212654
vertical leakage,Theis confined,near4,357,122,0.5391032221161969,0.404916401954261,0.1675769975919052,0.2724505894279598
vertical leakage,Theis confined,sparse3,257,125,0.4923592936442323,0.7682428016666903,0.387249697402155,0.4179951015449168
vertical leakage,Theis confined,standard4,424,129,0.6000450576347788,0.7925294855987879,0.3349066684506241,0.39111366618002297
