objective,model,well,objective_sse,success,nfev,boundary_hits,S,old_S,S_factor_refit_over_old,T,old_T,T_factor_refit_over_old,tau_q,old_tau_q,tau_q_factor_refit_over_old,tau_s,old_tau_s,tau_s_factor_refit_over_old
log_response,Lagging Darcy,MW-06,0.023257588903606033,True,26,,0.002544199728578222,0.00023,11.061737950340095,4.727275038752252e-05,0.0001159,0.4078753268983824,0.00010314002931912642,100000.0,1.0314002931912643e-09,372.07218605179804,6451.0,0.05767666812150024
log_response,Darcy,MW-07,0.153792704187269,True,6,,0.009624701045862622,0.011365,0.8468720673878242,3.60855674620053e-05,5.2991e-05,0.6809754007662678,,,,,,
log_response,Lagging Darcy,MW-07,0.10971812224838634,True,59,,0.0008679932397104586,0.004246,0.20442610450081455,0.00013835596335306634,0.0001347,1.0271415245216506,295933.96023938793,39930.0,7.411318813909039,9243.633805405158,4966.0,1.8613841734605634
log_response,Darcy,MW-03,1.2782443333917102,True,11,,0.0023401822985449055,0.0019642,1.1914175229329524,7.367385281859069e-05,4.4135e-05,1.6692840788170544,,,,,,
log_response,Lagging Darcy,MW-03,0.03247981117471457,True,13,,0.002501081344462571,0.0005736,4.360323124934747,4.315654176665137e-05,0.0001024,0.4214506031899548,157.53227968266023,47160.0,0.003340379128131048,599.8390488918401,6891.0,0.08704673471075898
log_response,Darcy,MW-04,2.752404163679068,True,18,,0.0024569174520383892,0.0026487,0.9275937071160907,7.653354941054875e-05,5.8595e-05,1.306144712186172,,,,,,
log_response,Lagging Darcy,MW-04,0.0816458992255776,True,19,tau_q:lower,0.0025236123071849478,0.0003022,8.350801810671568,3.571270920790485e-05,0.0001088,0.3282418125726549,0.00010000000020900677,93410.0,1.0705491939728805e-09,565.8652927199745,6645.0,0.0851565527042851
log_response,Darcy,MW-02,1.1906967004384499,True,13,,0.001279559430569783,0.00145,0.8824547797032987,6.996603173433368e-05,3.0277e-05,2.310864079477282,,,,,,
log_response,Lagging Darcy,MW-02,0.026440009139633444,True,30,,0.001344276235898333,0.0002074,6.481563336057536,4.121779800730547e-05,0.0001025,0.40212485860785824,155.6570373529565,75210.0,0.002069632194561315,562.7865192366289,7401.0,0.07604195638922158
log_response,Darcy,MW-01,0.24815487761996777,True,10,,0.001235932729294448,0.0013541,0.91273371929285,5.665972741251233e-05,2.9615e-05,1.9132104478309078,,,,,,
log_response,Lagging Darcy,MW-01,0.08759193222841467,True,54,,3.1346894118170996e-05,0.004094,0.007656788988317292,0.0001315330394323378,2.771e-05,4.74677154212695,462978.6742357547,21820.0,21.218087728494716,6693.321688737469,100000.0,0.06693321688737469
