scenario_class,pathway,response_count,mu_lnM_T,sd_lnM_T,cov_M_T,median_M_T,mu_lnM_S,sd_lnM_S,cov_M_S,median_M_S,mu_lnM_capacity,sd_lnM_capacity,cov_M_capacity,median_M_capacity,mu_lnM_response_time,sd_lnM_response_time,cov_M_response_time,median_M_response_time,mean_response_model_factor_cov,median_sd_eta,boundary_hit_fraction
heterogeneous leakage,Theis confined,1930,0.9524345469858762,1.0200255228739556,1.3529583511803327,2.08599208916549,0.5357533846213336,0.6991609631829563,0.79397801648451,1.4405487639769021,0.9524345469858762,1.0200255228739556,1.3529583511803327,2.08599208916549,-0.41668116236454256,0.739460592090234,0.8530644007732616,0.7015598694430583,0.6902203347646636,0.5230664887303983,0.0
heterogeneous leakage,Hantush-Jacob leaky,1137,0.29885417347871873,1.5264511169648207,3.0460608015415906,1.3179308233683056,-0.29811747186484877,1.6914964523875031,4.05977812246612,1.1168931368538988,0.29885417347871873,1.5264511169648207,3.0460608015415906,1.3179308233683056,-0.5969716453435676,2.0957591057971126,8.934121482005214,0.8620678518395323,0.6059535195713279,0.4447941130031364,0.0
heterogeneous leakage,Lagging Darcy no-leakage,2151,0.3661307893774986,1.395061607848131,2.449899482071392,1.3949984952482763,0.34995580517641284,0.8442478612041735,1.019608508811129,1.352759585455501,0.3661307893774986,1.395061607848131,2.449899482071392,1.3949984952482763,-0.0161749842010858,1.1259593491971545,1.5978022624832644,0.9981419711111884,0.5465700585596507,0.4239002434062407,0.0
heterogeneous leakage,Lagging Darcy with leakage,3082,-0.6551923440820618,2.1372749118977636,9.764518611765983,0.966900930344757,-0.601398105196658,1.7242194617120803,4.306874559633571,1.07123941956328,-0.6551923440820618,2.1372749118977636,9.764518611765983,0.966900930344757,0.05379423888540375,1.7591174004864318,4.59086765823048,1.1620865790813693,0.3892083024588852,0.25355423106432673,0.0
heterogeneous boundary,Theis confined,2272,0.2607808028838523,0.7163796899341265,0.818919061034369,1.2085048412796633,0.06862911950164827,0.4135794975992621,0.4319116841839872,1.048469001061587,0.2607808028838523,0.7163796899341265,0.818919061034369,1.2085048412796633,-0.19215168338220404,0.611354736679415,0.6731868363505287,0.8567325940938159,0.6807395137700492,0.5276008910550729,0.0
heterogeneous boundary,Hantush-Jacob leaky,515,-0.6707121718989048,1.4096468431451057,2.508860348076208,0.7005433989559965,-0.6731227313576774,1.406440358415194,2.495758475820681,0.8511334319848998,-0.6707121718989048,1.4096468431451057,2.508860348076208,0.7005433989559965,-0.002410559458772608,1.705393209671031,4.162550665549107,1.2601549709923123,0.7812817755156984,0.6312915312985836,0.0
heterogeneous boundary,Lagging Darcy no-leakage,3227,-0.2985925218093918,1.077454416412385,1.4808210941944089,0.9506206684836467,0.013050185803241344,0.5498523945601567,0.5941531822432058,1.0919952458385989,-0.2985925218093918,1.077454416412385,1.4808210941944089,0.9506206684836467,0.3116427076126331,0.7635985164330048,0.8896924953769674,1.1851686881537686,0.4204509766532978,0.3083705305562088,0.0
heterogeneous boundary,Lagging Darcy with leakage,3005,-0.7400004256663726,1.7550848537372201,4.556909928442378,0.9097485669360426,-0.35904311574985487,1.1287619625785987,1.604834815705933,1.0364207376206998,-0.7400004256663726,1.7550848537372201,4.556909928442378,0.9097485669360426,0.3809573099165176,1.069481209803995,1.4624094791554951,1.2307445751635688,0.37212727117258454,0.2570667910580591,0.0
combined leakage boundary,Lagging Darcy no-leakage,2100,0.31682919263445714,1.3834383108708062,2.404056539436416,1.3057609873821368,0.39010955346426346,0.9171425300760855,1.1484917527710947,1.4948462236283357,0.31682919263445714,1.3834383108708062,2.404056539436416,1.3057609873821368,0.07328036082980628,1.2129541353219575,1.8315864066844083,1.097702264192448,0.5680842971365965,0.4341132087182949,0.0
combined leakage boundary,Lagging Darcy with leakage,2965,-0.579621496255022,2.150115770262619,10.039858069105422,0.969987658508116,-0.4490418637483763,1.6548659469957445,3.803291906715165,1.0448641349870396,-0.579621496255022,2.150115770262619,10.039858069105422,0.969987658508116,0.1305796325066457,1.7090258588434386,4.18993536460634,1.204530108764053,0.3764572393737177,0.2521304952433401,0.0
combined leakage boundary,Theis confined,1968,0.9134131297533441,1.0138185551038756,1.3397718825333282,1.992210413240079,0.5665192315356635,0.739000043455946,0.8523748373087415,1.5572747394863102,0.9134131297533441,1.0138185551038756,1.3397718825333282,1.992210413240079,-0.34689389821768063,0.7586221441522464,0.8820616486176582,0.7216915884122141,0.6881318930263051,0.5228590041200425,0.0
combined leakage boundary,Hantush-Jacob leaky,1090,0.34531050651027745,1.4300707094377134,2.594214478610572,1.357669234373932,-0.052616557285352306,1.4701186342418093,2.771637228862521,1.2019789799703828,0.34531050651027745,1.4300707094377134,2.594214478610572,1.357669234373932,-0.39792706379562975,1.7631024459125924,4.624728633636385,0.9171902402844506,0.6036066284489182,0.41971059208120415,0.0
