scenario_id,scenario_class,well,radius_m,pathway,truth_T_ref_m2_s,truth_S_ref,T_fit_m2_s,S_fit,tau_q_fit_s,tau_s_fit_s,leakage_B_fit_m,lnM_T,lnM_S,lnM_capacity,lnM_response_time,bias_eta,sd_eta,cov_response_model_factor,rmse_m,aic,bic,parameter_count,boundary_hit
mf6_leakage_00,vertical leakage,R50E,50.0,Lagging Darcy no-leakage,5e-05,0.001,7.715344333655148e-05,0.0012394862028614164,2.426443069494906,54.4240773328052,,0.43377320409667847,0.21469694121809918,0.43377320409667847,-0.2190762628785793,0.0005956927967964967,0.03589003295117751,0.03590159349145152,0.007361990261635047,-179.33885264859995,-174.01003460789914,4,False
mf6_leakage_00,vertical leakage,R50E,50.0,Lagging Darcy with leakage,5e-05,0.001,5.638628719745856e-05,0.0010707533885317248,306.3175202826121,487.41340050290665,90.52291398140832,0.12020298871697663,0.06836250214221386,0.12020298871697663,-0.051840486574762784,0.00026096890548010733,0.002153704574806877,0.002153707072286361,0.00021032289575559788,-334.4668540895011,-327.8058315386251,5,False
mf6_leakage_00,vertical leakage,R100E,100.0,Theis confined,5e-05,0.001,0.00011796220347498594,0.0016712145166289743,,,,0.8583412581934454,0.513550617573004,0.8583412581934454,-0.34479064062044146,0.001330427959352194,0.024904226105580542,0.024908088132337275,0.001673331300993414,-203.7277429698176,-201.0633339494672,2,False
mf6_leakage_00,vertical leakage,R100E,100.0,Hantush-Jacob leaky,5e-05,0.001,9.727769485619038e-05,0.0014596876682814197,,,158.8566476809946,0.6655467165405192,0.3782224870002058,0.6655467165405192,-0.2873242295403135,0.0029970876788442606,0.016967669642551437,0.016968890971521728,0.0006087347124588861,-222.4076361166904,-218.4110225861648,3,False
mf6_leakage_00,vertical leakage,R100E,100.0,Lagging Darcy no-leakage,5e-05,0.001,0.00011735613739370333,0.0016710629546210667,0.7352819647224805,22.786545623158265,,0.8531902154050294,0.5134599237216915,0.8531902154050294,-0.33973029168333796,0.0010379888478761969,0.025430491921253597,0.02543460401310451,0.001707174813428186,-198.59111589313898,-193.26229785243817,4,False
mf6_leakage_00,vertical leakage,R100E,100.0,Lagging Darcy with leakage,5e-05,0.001,6.479982728783447e-05,0.001172740217017281,1112.44121664478,1620.868049347272,93.78294275073554,0.2592799326153345,0.15934307627501385,0.2592799326153345,-0.09993685634032072,2.356750759430215e-05,0.0004807389233923541,0.00048073895118460014,1.737608728480816e-05,-418.79902400901653,-412.13800145814054,5,False
mf6_leakage_00,vertical leakage,R100N,100.0,Theis confined,5e-05,0.001,0.0001179622115535836,0.0016712145848402037,,,,0.8583413266780714,0.5135506583883674,0.8583413266780714,-0.34479066828970395,0.0013304269315173886,0.024904238361656384,0.0249081003941176,0.0016733321416395775,-203.72771561962304,-201.06330659927264,2,False
mf6_leakage_00,vertical leakage,R100N,100.0,Hantush-Jacob leaky,5e-05,0.001,9.72776861719608e-05,0.001459687565789936,,,158.85658004747964,0.6655466272679477,0.37822241678553614,0.6655466272679477,-0.2873242104824115,0.0029970879729136575,0.016967672137894636,0.01696889346740321,0.0006087347374212485,-222.40762796698115,-218.41101443645553,3,False
mf6_leakage_00,vertical leakage,R100N,100.0,Lagging Darcy no-leakage,5e-05,0.001,0.00011723551330289246,0.0016709119586978873,45.32695975426195,71.13247161940622,,0.8521618403449346,0.5133695604322004,0.8521618403449346,-0.33879227991273436,0.0009752557593824847,0.025438971037606492,0.02544308724439824,0.0017145950889837047,-198.57813720845,-193.24931916774918,4,False
mf6_leakage_00,vertical leakage,R100N,100.0,Lagging Darcy with leakage,5e-05,0.001,6.479998359150005e-05,0.001172741609035776,1112.4189001014702,1620.840270620656,93.78312395601529,0.259282344712459,0.15934426325372283,0.259282344712459,-0.09993808145873624,2.3560354711443975e-05,0.00048073939952802323,0.0004807394273845705,1.7377973944488443e-05,-418.7990109316253,-412.1379883807493,5,False
mf6_leakage_01,vertical leakage,R20E,20.0,Theis confined,5e-05,0.001,8.379754532392675e-05,0.0011327097235876282,,,,0.5163807095536235,0.1246127476210107,0.5163807095536235,-0.39176796193261293,0.024689111002266725,0.11899132253275906,0.1194137652105559,0.027399395051590305,-115.00279364130101,-112.3383846209506,2,False
mf6_leakage_01,vertical leakage,R20E,20.0,Hantush-Jacob leaky,5e-05,0.001,7.629055855930794e-05,0.0010774185721781427,,,114.94436148075081,0.4225261841743615,0.07456796907576026,0.4225261841743615,-0.34795821509860125,0.027509308389206,0.10405821233135415,0.10434053729630165,0.012910005899486165,-119.77617406919326,-115.77956053866765,3,False
mf6_leakage_01,vertical leakage,R20E,20.0,Lagging Darcy no-leakage,5e-05,0.001,7.805985219919606e-05,0.001185432453274385,0.08465655268644419,26.294768677511097,,0.4454528628969097,0.17010764748493673,0.4454528628969097,-0.27534521541197304,0.0052319770795422604,0.09610114640112163,0.09632345776911537,0.03274546627453705,-124.10418688152043,-118.77536884081962,4,False
mf6_leakage_01,vertical leakage,R20E,20.0,Lagging Darcy with leakage,5e-05,0.001,5.4964140954068605e-05,0.0010424063306623725,3.717082583336466,54.51894007565243,50.94518770681157,0.09465798451790962,0.04153181997042948,0.09465798451790962,-0.05312616454748013,0.0006406825785294494,0.008022689540783317,0.008022818634698375,0.0007760879287547255,-261.0606892845422,-254.39966673366618,5,False
mf6_leakage_01,vertical leakage,R50E,50.0,Theis confined,5e-05,0.001,0.00013293921506723715,0.001719516844319026,,,,0.9778689887541167,0.5420433468986298,0.9778689887541167,-0.4358256418554869,-0.0011344710754271012,0.09585129795028294,0.09607187768869889,0.011314972757535548,-128.33183370020475,-125.66742467985435,2,False
mf6_leakage_01,vertical leakage,R50E,50.0,Hantush-Jacob leaky,5e-05,0.001,8.391445483663022e-05,0.0012881645812378572,,,68.33642267245784,0.5177748796968222,0.25321839998310847,0.5177748796968222,-0.2645564797137136,0.0056259916428336885,0.029796575089320553,0.029803189929945236,0.0014491449455739857,-190.75004844418382,-186.7534349136582,3,False
mf6_leakage_01,vertical leakage,R50E,50.0,Lagging Darcy no-leakage,5e-05,0.001,0.0003227005670271807,0.00034953007206664385,48755.11303669663,4486.390705089393,,1.864701850762347,-1.0511656779006298,1.864701850762347,-2.915867528662977,0.0018037257173758587,0.021800534834088572,0.021803125339209816,0.002592839497356943,-207.06618598007722,-201.7373679393764,4,False
mf6_leakage_01,vertical leakage,R50E,50.0,Lagging Darcy with leakage,5e-05,0.001,6.2666050176542e-05,0.0011436671844218525,247.94003755104572,399.7756693570799,52.3310814795516,0.22579683107693152,0.13423992792321485,0.22579683107693152,-0.09155690315371674,0.00013097275688137244,0.001052200377269322,0.0010522006684468357,6.940671436937512e-05,-374.55678464700276,-367.89576209612676,5,False
mf6_leakage_01,vertical leakage,R100E,100.0,Theis confined,5e-05,0.001,0.0003386105027789162,0.0035550593407509185,,,,1.9128274820382565,1.2683717553102423,1.9128274820382565,-0.6444557267280143,-0.005117152710318619,0.07599933185216246,0.07610920512506084,0.0020026943701242283,-141.20068291454825,-138.53627389419785,2,False
mf6_leakage_01,vertical leakage,R100E,100.0,Hantush-Jacob leaky,5e-05,0.001,0.00012934775936604122,0.0018562768647140964,,,69.28166204636334,0.9504815807967376,0.6185727960373966,0.9504815807967376,-0.33190878475934105,0.0020421495169890866,0.01076446179695347,0.010764773633822116,0.00013833450579782045,-247.75654927492673,-243.7599357444011,3,False
mf6_leakage_01,vertical leakage,R100E,100.0,Lagging Darcy no-leakage,5e-05,0.001,0.0010130573932897505,0.001095778289015097,73852.01926116264,7643.70904530878,,3.008705153967579,0.09146487701761101,3.008705153967579,-2.917240276949968,0.00039737586343466323,0.012254920745563912,0.012255380880403916,0.0003529004541071707,-239.4901329773404,-234.1613149366396,4,False
mf6_leakage_01,vertical leakage,R100E,100.0,Lagging Darcy with leakage,5e-05,0.001,8.94157702780938e-05,0.0014942896054673358,799.626013509602,1168.9680691077165,56.86276152897802,0.5812740625153986,0.40165091361931116,0.5812740625153986,-0.17962314889608755,-4.746835814448917e-05,0.0005435037086555519,0.0005435037487969544,1.3701526939325574e-05,-411.77622023633756,-405.11519768546157,5,False
