scenario_id,scenario_class,obs_layout,duration_days,dx_m,domain_m,sigma_ln_k,sigma_ln_s,leakage_b_m,boundary_type,support_effective_radius_m,support_diffusion_radius_m,support_observation_max_radius_m,support_leakage_limit_m,support_boundary_limit_m,support_target_spread,fixed_radius_130m_T_ratio_to_effective,fixed_130m_reference_status
mega_vertical_leakage_00030,vertical leakage,near4,10.0,5.0,605.0,0.0,0.0,51.20998483941936,none,51.20998483941936,311.76914536239855,50.0,51.20998483941936,297.5,1.0,1.0000000000000027,sensitivity comparison only
mega_vertical_leakage_00031,vertical leakage,near4,1.0,10.0,605.0,0.0,0.0,40.21413142933558,none,40.21413142933558,98.59006035092999,50.0,40.21413142933558,292.5,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00032,vertical leakage,mixed4,10.0,5.0,605.0,0.0,0.0,139.721425206158,none,139.721425206158,311.76914536239855,200.0,139.721425206158,297.5,1.0,1.0000000000000027,sensitivity comparison only
mega_vertical_leakage_00033,vertical leakage,far4,10.0,7.5,1005.0,0.0,0.0,26.40009035294841,none,100.0,311.76914536239855,200.0,26.40009035294841,495.0,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00034,vertical leakage,mixed4,5.0,7.5,605.0,0.0,0.0,88.15797698198034,none,100.0,220.4540768504864,200.0,88.15797698198034,295.0,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00035,vertical leakage,sparse3,1.0,5.0,605.0,0.0,0.0,200.48921274524636,none,100.0,98.5900603509301,200.0,200.48921274524636,297.5,1.0,1.0000000000000027,sensitivity comparison only
mega_vertical_leakage_00036,vertical leakage,near4,1.0,10.0,405.0,0.0,0.0,34.400957798025935,none,34.400957798025935,98.5900603509301,50.0,34.400957798025935,192.5,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00037,vertical leakage,far4,5.0,5.0,805.0,0.0,0.0,46.98661717043072,none,100.0,220.4540768504865,200.0,46.98661717043072,397.5,1.0,1.0000000000000027,sensitivity comparison only
mega_vertical_leakage_00038,vertical leakage,far4,5.0,5.0,805.0,0.0,0.0,146.9404536238868,none,146.9404536238868,220.4540768504865,200.0,146.9404536238868,397.5,1.0,1.0000000000000027,sensitivity comparison only
mega_vertical_leakage_00039,vertical leakage,far4,10.0,5.0,1005.0,0.0,0.0,146.0430410702687,none,146.0430410702687,311.7691453623987,200.0,146.0430410702687,497.5,1.0,1.0000000000000027,sensitivity comparison only
mega_vertical_leakage_00040,vertical leakage,far4,10.0,7.5,1205.0,0.0,0.0,78.39645151604655,none,100.0,311.76914536239855,200.0,78.39645151604655,595.0,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00041,vertical leakage,standard4,5.0,5.0,1005.0,0.0,0.0,46.246645833298935,none,50.0,220.4540768504866,100.0,46.246645833298935,497.5,1.0,1.0000000000000027,sensitivity comparison only
mega_vertical_leakage_00042,vertical leakage,mixed4,5.0,7.5,1005.0,0.0,0.0,37.88724167613103,none,100.0,220.4540768504865,200.0,37.88724167613103,495.0,1.0,1.0000000000000044,sensitivity comparison only
