dataset,outcome,factor,n,group_count,eta2_marginal,top_level,top_level_mean,bottom_level,bottom_level_mean
quality_gated,lnM_T,scenario_class,88106,10,0.018910777700088484,vertical leakage,0.14062129384693617,anisotropic heterogeneous K,-0.360247923937574
quality_gated,lnM_T,radius_bin,88106,4,0.006188365461468823,near,-0.06808357117142856,far,-0.37008334490655015
quality_gated,lnM_T,leakage_present,88106,2,0.006176575665721611,False,-0.05798504010183002,True,-0.28972640687308365
quality_gated,lnM_T,duration_days,88106,4,0.0013610845169247335,10.0,-0.12433057951895007,1.0,-0.2680950933527839
quality_gated,lnM_T,sigma_ln_s_bin,88106,4,0.0012891374203020198,low,-0.049380935110393674,none,-0.21283958563605282
quality_gated,lnM_T,anisotropy_bin,88106,4,0.0009893437685267977,moderate,-0.022546008360682882,low_Ky,-0.23053440124826527
quality_gated,lnM_T,obs_layout,88106,6,0.0006916702431465971,mixed4,-0.13940260151250564,standard4,-0.2588241844495684
quality_gated,lnM_T,time_count,88106,3,0.000604671340749302,20,-0.15217685120585167,40,-0.2387392596066198
quality_gated,lnM_T,support_spread_bin,88106,4,0.0005063648074589446,moderate,-0.1345214478616996,high,-0.2212956402893907
quality_gated,lnM_T,boundary_type,88106,4,0.0003767854686437273,constant_head_east,-0.1279672992660757,none,-0.20431416718242923
quality_gated,lnM_T,sigma_ln_k_bin,88106,4,0.0001782311642731645,high,-0.1513367387140884,low,-0.21035151987523865
quality_gated,lnM_T,boundary_present,88106,2,0.00011253537021107182,False,-0.17470910578167956,True,-0.2063996469855311
quality_gated,lnM_T,corr_len_m_bin,88106,4,0.00011150477661851287,moderate,-0.16044243033286446,none_or_short,-0.19903579273168273
quality_gated,lnM_T,domain_m,88106,5,3.446802211984786e-05,1205.0,-0.17782805159482085,405.0,-0.21269867215264746
quality_gated,lnM_T,dx_m,88106,3,1.5268546789433755e-05,10.0,-0.17935328401811143,7.5,-0.19217761308080147
quality_gated,lnM_response_time,pathway,88106,4,0.049468006336451646,Lagging Darcy with leakage,0.29075204706309055,Theis confined,-0.2516844735762664
quality_gated,lnM_response_time,radius_bin,88106,4,0.025692538568015212,far,0.20981597898573892,very_far,-0.24193895411266964
quality_gated,lnM_response_time,scenario_class,88106,10,0.018377625399992745,anisotropic heterogeneous K,0.2689450102371794,heterogeneous leakage,-0.16288553625191862
quality_gated,lnM_response_time,obs_layout,88106,6,0.0051486419667921045,standard4,0.19063057771752456,far4,-0.00458804389271379
quality_gated,lnM_response_time,noise_sd_m,88106,4,0.004121944077743735,0.01,0.17387010075355472,0.0,0.02027595577820263
quality_gated,lnM_response_time,support_spread_bin,88106,4,0.002609547132106234,high,0.21431397165947602,moderate,0.036092487115113085
quality_gated,lnM_response_time,anisotropy_bin,88106,4,0.0010000949927378147,low_Ky,0.20152721489935418,moderate,0.011603397148046915
quality_gated,lnM_response_time,domain_m,88106,5,0.0007855038987138982,405.0,0.20900286643153682,1005.0,0.08908022929553475
quality_gated,lnM_response_time,time_count,88106,3,0.0006627342234472393,40,0.14246961554431886,20,0.07726961902877227
quality_gated,lnM_response_time,sigma_ln_s_bin,88106,4,0.0005670008916528063,none,0.11332836488733712,low,0.018002609241055696
quality_gated,lnM_response_time,duration_days,88106,4,0.0004952134793794637,10.0,0.12932993017689445,1.0,0.06283938023002178
quality_gated,lnM_response_time,boundary_present,88106,2,0.00016138796189099207,True,0.11887908979925763,False,0.09097733278282293
