scenario_id,scenario_class,well,radius_m,pathway,truth_T_ref_m2_s,truth_S_ref,T_fit_m2_s,S_fit,tau_q_fit_s,tau_s_fit_s,leakage_B_fit_m,lnM_T,lnM_S,lnM_capacity,lnM_response_time,bias_eta,sd_eta,cov_response_model_factor,rmse_m,aic,bic,parameter_count,boundary_hit,ensemble_role,dx_m,domain_m,time_count,sigma_ln_k,corr_len_m,support_target_spread
strict_heterogeneous_leakage_06,heterogeneous leakage,R20E,20.615528128088304,Hantush-Jacob leaky,4.0763970737130344e-05,0.001,0.0001219073721475404,0.0013526160727054782,,,99999.99999870434,1.0954628905631552,0.3020405489104283,1.0954628905631552,-0.7934223416527267,0.024310811585390533,0.08679594112622374,0.08695966805414537,0.006973220696581478,-129.70317178467963,-125.70655825415402,3,True,ensemble,5.0,605.0,28,1.1,10.0,2.099733107806216
strict_heterogeneous_leakage_06,heterogeneous leakage,R20E,20.615528128088304,Lagging Darcy no-leakage,4.0763970737130344e-05,0.001,0.00011751494461572726,0.001455324359861392,0.8349667670024097,30.530542178588277,,1.0587668926098477,0.3752288035185479,1.0587668926098477,-0.6835380890912998,0.0023944440827266436,0.054631050968537355,0.05467183862455529,0.01468977884735942,-155.76312909541784,-150.43431105471703,4,False,ensemble,5.0,605.0,28,1.1,10.0,2.099733107806216
strict_heterogeneous_leakage_06,heterogeneous leakage,R20E,20.615528128088304,Lagging Darcy with leakage,4.0763970737130344e-05,0.001,9.920581582360882e-05,0.0013899484840127355,10.552446480213685,55.884896588260204,88.84730454322106,0.8893980187208523,0.3292666845944512,0.8893980187208523,-0.560131334126401,0.000841955190373329,0.020145715532929716,0.020147759739695462,0.003244908889823741,-209.63438553883566,-202.97336298795963,5,False,ensemble,5.0,605.0,28,1.1,10.0,2.099733107806216
strict_heterogeneous_leakage_06,heterogeneous leakage,R50E,50.99019513592785,Theis confined,4.0763970737130344e-05,0.001,0.00013577745289777097,0.0006330272227363173,,,,1.2032185485535987,-0.4572418518601332,1.2032185485535987,-1.660460400413732,0.010470928093609234,0.07429763695056138,0.0744002882827074,0.010083895207878571,-142.02928656170593,-139.36487754135553,2,False,ensemble,5.0,605.0,28,1.1,10.0,2.099733107806216
strict_heterogeneous_leakage_06,heterogeneous leakage,R50E,50.99019513592785,Hantush-Jacob leaky,4.0763970737130344e-05,0.001,0.00012552629237684793,0.0006066923211340045,,,251.62232721568617,1.1247166165347213,-0.4997335008899764,1.1247166165347213,-1.6244501174246977,0.0123477290843941,0.06614919539106226,0.06622162392460755,0.0059139425478541945,-146.11156815438844,-142.11495462386281,3,False,ensemble,5.0,605.0,28,1.1,10.0,2.099733107806216
strict_heterogeneous_leakage_06,heterogeneous leakage,R50E,50.99019513592785,Lagging Darcy no-leakage,4.0763970737130344e-05,0.001,0.00012903736302281375,0.0006495061500631234,0.12913297340780178,40.351684929433354,,1.1523033771554907,-0.4315429739969542,1.1523033771554907,-1.5838463511524448,0.0002864635765316227,0.06293243608614346,0.06299479837425966,0.01152170862848558,-147.89653238005624,-142.56771433935543,4,False,ensemble,5.0,605.0,28,1.1,10.0,2.099733107806216
strict_heterogeneous_leakage_06,heterogeneous leakage,R50E,50.99019513592785,Lagging Darcy with leakage,4.0763970737130344e-05,0.001,8.67276993084424e-05,0.0005789702163656626,206.42511988038942,377.3239401688219,107.16797055446575,0.7549746961830371,-0.5465042425151789,0.7549746961830371,-1.3014789386982162,0.0015930167806923509,0.010676369367104777,0.010676673610454197,0.0010078045374252865,-244.6036349671202,-237.94261241624417,5,False,ensemble,5.0,605.0,28,1.1,10.0,2.099733107806216
strict_heterogeneous_leakage_06,heterogeneous leakage,R100E,101.9803902718557,Theis confined,4.0763970737130344e-05,0.001,0.00018488575407898258,0.0008331291252010261,,,,1.5119394676939528,-0.18256663658232136,1.5119394676939528,-1.6945061042762741,0.0024056092799855716,0.06696971481862518,0.06704487385952822,0.005127009210206987,-148.37768001684148,-145.71327099649108,2,False,ensemble,5.0,605.0,28,1.1,10.0,2.099733107806216
strict_heterogeneous_leakage_06,heterogeneous leakage,R100E,101.9803902718557,Hantush-Jacob leaky,4.0763970737130344e-05,0.001,0.000133530245018535,0.0006812213516916712,,,160.38525866401304,1.1865293855210908,-0.38386798645160153,1.1865293855210908,-1.570397371972692,0.007010574872204124,0.0398741201657307,0.039889974835994206,0.0015891947850348598,-174.56834788934447,-170.57173435881884,3,False,ensemble,5.0,605.0,28,1.1,10.0,2.099733107806216
strict_heterogeneous_leakage_06,heterogeneous leakage,R100E,101.9803902718557,Lagging Darcy no-leakage,4.0763970737130344e-05,0.001,0.00018421902944996054,0.0008339849215337838,6.94405826062513,15.796216702863735,,1.5083268060113593,-0.18153995648253285,1.5083268060113593,-1.6898667624938921,0.002058844979604617,0.06733175244996412,0.06740813779346655,0.005167752841418872,-144.08606536394234,-138.75724732324153,4,False,ensemble,5.0,605.0,28,1.1,10.0,2.099733107806216
strict_heterogeneous_leakage_06,heterogeneous leakage,R100E,101.9803902718557,Lagging Darcy with leakage,4.0763970737130344e-05,0.001,7.422948225210392e-05,0.0005335647483522124,679.4804266493352,1203.3707236607302,91.91959336685983,0.5993627850851427,-0.6281748503707305,0.5993627850851427,-1.2275376354558731,0.00047214065592789654,0.0035583467294088857,0.0035583579932451587,0.000126630277073556,-306.26541325735866,-299.60439070648266,5,False,ensemble,5.0,605.0,28,1.1,10.0,2.099733107806216
strict_heterogeneous_leakage_06,heterogeneous leakage,R100N,101.9803902718557,Theis confined,4.0763970737130344e-05,0.001,0.0003081146437637219,0.002828374965573091,,,,2.0226733126233896,1.03970232961738,2.0226733126233896,-0.9829709830060095,-0.004107205679087539,0.07056805874501938,0.07065600456254198,0.0022096266010076466,-145.38605316541594,-142.72164414506554,2,False,ensemble,5.0,605.0,28,1.1,10.0,2.099733107806216
