scenario_id,family,split,truth_model,truth_T_m2_s,truth_S,truth_delay_s,truth_tau_q_s,truth_tau_s_s,truth_leakage_B_m,pathway,T_fit_m2_s,S_fit,tau_q_fit_s,tau_s_fit_s,leakage_B_fit_m,delta_logT,delta_logS,sd_epsilon,bias_eta,rmse_m,aic,bic,parameter_count,boundary_hit,reliability_class
recovery_10,recovery,holdout,Pumping plus recovery schedule,5e-05,0.001,0.0,0.0,0.0,,Cooper-Jacob late-time,9549296.58551372,1e-09,,,,25.975465606313158,-13.815510557964274,2.1112728106130523,3.392182111704728,0.14938858046678638,164.4009636645331,168.52184968562594,2,True,D
recovery_10,recovery,holdout,Pumping plus recovery schedule,5e-05,0.001,0.0,0.0,0.0,,Lagging Darcy no-leakage,4.510597814841472e-05,0.0010668215279589165,0.00010827109954974293,90.93424922791372,,-0.1030082145239827,0.06468369306110186,0.5152233036909022,0.004540384587758202,0.008534159099534722,-69.93010324453009,-61.688331202344415,4,False,B
recovery_10,recovery,holdout,Pumping plus recovery schedule,5e-05,0.001,0.0,0.0,0.0,,Lagging Darcy with leakage,4.019735389920236e-05,0.0010146416140462302,0.000126160342895695,99.19424041009692,86.5242778779557,-0.21822183537255246,0.014535460533311654,0.5134636543187056,0.003756711854025954,0.0100887635799853,-68.32838172058995,-58.02616666785785,5,False,C
recovery_11,recovery,holdout,Pumping plus recovery schedule,5e-05,0.001,0.0,0.0,0.0,,Theis fixed-rate,9.916910546094338e-05,0.0014263850302339,,,,0.6848035234704913,0.3551432927233747,0.793531601887961,0.13375431153494172,0.07871829659361353,-22.182133066554872,-18.061247045462032,2,False,C
recovery_11,recovery,holdout,Pumping plus recovery schedule,5e-05,0.001,0.0,0.0,0.0,,Theis schedule-aware,5.058251135070743e-05,0.0010558571132160027,,,,0.011582885642931145,0.05435286667437665,0.6659126418483948,0.175556275150089,0.006859004574072994,-40.21065155497414,-36.089765533881305,2,False,B
recovery_11,recovery,holdout,Pumping plus recovery schedule,5e-05,0.001,0.0,0.0,0.0,,Hantush-Jacob leaky,4.994231473155234e-05,0.0010498312594470478,,,99999.99997919195,-0.0011543713993101953,0.048629445966427584,0.6658755202686181,0.17635001259221567,0.006359841733170132,-38.181978289545974,-32.000649257906716,3,True,C
recovery_11,recovery,holdout,Pumping plus recovery schedule,5e-05,0.001,0.0,0.0,0.0,,Cooper-Jacob late-time,9549296.58551372,1e-09,,,,25.975465606313158,-13.815510557964274,2.0266016397218434,3.414232714366459,0.14821221770046603,163.6875160999039,167.80840212099673,2,True,D
recovery_11,recovery,holdout,Pumping plus recovery schedule,5e-05,0.001,0.0,0.0,0.0,,Lagging Darcy no-leakage,4.1478544704546555e-05,0.0012091432274492868,0.00010000000736964624,181.6417057109422,,-0.18684670695069194,0.18991203231590092,0.6070913091443537,0.020570556765402922,0.013841922867821817,-50.83382629409616,-42.59205425191048,4,True,C
recovery_11,recovery,holdout,Pumping plus recovery schedule,5e-05,0.001,0.0,0.0,0.0,,Lagging Darcy with leakage,3.1630526812590866e-05,0.001081926871460234,0.00010000000099357243,212.81395908779547,51.38720176969458,-0.4579003127769257,0.07874359168942226,0.6015188169450579,0.01856530774457761,0.01473571213307652,-49.915034243645394,-39.6128191909133,5,True,C
lagging_darcy_truth_00,lagging_darcy_truth,calibration,Lagging Darcy truth,5e-05,0.001,0.0,100.0,1000.0,,Theis fixed-rate,0.0001794043423608321,0.0003451828108935763,,,,1.2776191488134934,-1.0636811156430859,0.41878234053157554,0.0033997396028431887,0.06921500844179578,-80.5661139307324,-76.82371190891662,2,False,D
lagging_darcy_truth_00,lagging_darcy_truth,calibration,Lagging Darcy truth,5e-05,0.001,0.0,100.0,1000.0,,Theis schedule-aware,0.0001794043423608321,0.0003451828108935763,,,,1.2776191488134934,-1.0636811156430859,0.41878234053157554,0.0033997396028431887,0.06921500844179578,-80.5661139307324,-76.82371190891662,2,False,D
lagging_darcy_truth_00,lagging_darcy_truth,calibration,Lagging Darcy truth,5e-05,0.001,0.0,100.0,1000.0,,Hantush-Jacob leaky,0.00016717952724394405,0.00034550068635591887,,,99999.99999127687,1.207045243012236,-1.0627606492180097,0.4430608453949804,0.004804670715841738,0.07337926510421727,-73.15342348119634,-67.53982044847267,3,True,D
lagging_darcy_truth_00,lagging_darcy_truth,calibration,Lagging Darcy truth,5e-05,0.001,0.0,100.0,1000.0,,Cooper-Jacob late-time,6.575878964579522e-05,0.000665129882410463,,,,0.2739703395207579,-0.40777294550173493,1.0563553345607823,0.5973300355037989,0.020065087825007245,21.816579629251745,25.558981651067526,2,False,C
lagging_darcy_truth_00,lagging_darcy_truth,calibration,Lagging Darcy truth,5e-05,0.001,0.0,100.0,1000.0,,Lagging Darcy no-leakage,4.819904537492194e-05,0.0010314479784171342,79.73471906343251,1035.8090363286171,,-0.03668379006726776,0.03096361931229043,0.18487104356159909,-0.000123711854714195,0.00630338717838494,-155.06783053391678,-147.58302649028522,4,False,B
lagging_darcy_truth_00,lagging_darcy_truth,calibration,Lagging Darcy truth,5e-05,0.001,0.0,100.0,1000.0,,Lagging Darcy with leakage,3.931824877190234e-05,0.0010154152238450944,76.45597890465342,1125.9687183691265,56.049457484790764,-0.24033424898683994,0.015297616372372539,0.18466079053562523,-0.0001305453657297357,0.006228371310593793,-153.177070496839,-143.82106544229956,5,False,C
lagging_darcy_truth_01,lagging_darcy_truth,calibration,Lagging Darcy truth,5e-05,0.001,0.0,100.0,1000.0,,Theis fixed-rate,0.00016050785946392917,0.00040654581234228254,,,,1.1663199045656123,-0.9000586568553721,0.3829230008798646,0.0068773369978375925,0.06446815292000935,-89.14720348239794,-85.40480146058216,2,False,D
lagging_darcy_truth_01,lagging_darcy_truth,calibration,Lagging Darcy truth,5e-05,0.001,0.0,100.0,1000.0,,Theis schedule-aware,0.00016050785946392917,0.00040654581234228254,,,,1.1663199045656123,-0.9000586568553721,0.3829230008798646,0.0068773369978375925,0.06446815292000935,-89.14720348239794,-85.40480146058216,2,False,D
lagging_darcy_truth_01,lagging_darcy_truth,calibration,Lagging Darcy truth,5e-05,0.001,0.0,100.0,1000.0,,Hantush-Jacob leaky,0.00015266068758039352,0.00040436192348776884,,,99999.99999998901,1.1161947249304207,-0.90544495183805,0.40120227913294676,0.00850719784625036,0.06803733733740067,-82.6643237640111,-77.05072073128743,3,True,D
lagging_darcy_truth_01,lagging_darcy_truth,calibration,Lagging Darcy truth,5e-05,0.001,0.0,100.0,1000.0,,Cooper-Jacob late-time,6.690440549767143e-05,0.0006481342566374223,,,,0.29124181152102047,-0.43365741792109097,0.8844864651852121,0.48012821366263064,0.01889392326678823,3.8336875172638805,7.576089539079662,2,False,C
lagging_darcy_truth_01,lagging_darcy_truth,calibration,Lagging Darcy truth,5e-05,0.001,0.0,100.0,1000.0,,Lagging Darcy no-leakage,5.586499701531003e-05,0.0009117712780541615,84.31497515718414,683.9006318814921,,0.11091500714432166,-0.09236611196855884,0.16864641651013473,5.176817489171518e-05,0.006930117728480892,-163.88585173797887,-156.4010476943473,4,False,B
lagging_darcy_truth_01,lagging_darcy_truth,calibration,Lagging Darcy truth,5e-05,0.001,0.0,100.0,1000.0,,Lagging Darcy with leakage,5.586529192318447e-05,0.0009117677702289235,84.3140002569774,683.8918221464153,74213.62516327955,0.11092028606872516,-0.09236995924042436,0.1686464177673439,5.177885829373471e-05,0.0069302686592002585,-161.88585102042066,-152.5298459658812,5,False,B
lagging_darcy_truth_02,lagging_darcy_truth,calibration,Lagging Darcy truth,5e-05,0.001,0.0,100.0,1000.0,,Theis fixed-rate,0.00014931740830191191,0.00040332785556200626,,,,1.09405129179678,-0.9080055104029102,0.4278174731328241,0.0014931957179761812,0.05832475039215798,-78.51959581548687,-74.77719379367109,2,False,D
lagging_darcy_truth_02,lagging_darcy_truth,calibration,Lagging Darcy truth,5e-05,0.001,0.0,100.0,1000.0,,Theis schedule-aware,0.00014931740830191191,0.00040332785556200626,,,,1.09405129179678,-0.9080055104029102,0.4278174731328241,0.0014931957179761812,0.05832475039215798,-78.51959581548687,-74.77719379367109,2,False,D
lagging_darcy_truth_02,lagging_darcy_truth,calibration,Lagging Darcy truth,5e-05,0.001,0.0,100.0,1000.0,,Hantush-Jacob leaky,0.00014300053686665536,0.00040025924416037993,,,99999.99999901805,1.050825379136989,-0.9156428314060495,0.4412429162672704,0.0024893055540589487,0.06229910446972924,-73.55233701420788,-67.9387339814842,3,True,D
lagging_darcy_truth_02,lagging_darcy_truth,calibration,Lagging Darcy truth,5e-05,0.001,0.0,100.0,1000.0,,Cooper-Jacob late-time,6.58078431435304e-05,0.0006649820356165176,,,,0.2747160225099505,-0.4079952528016704,0.9634953912156046,0.5250067733733309,0.01978076192547577,12.13207235482337,15.874474376639153,2,False,C
lagging_darcy_truth_02,lagging_darcy_truth,calibration,Lagging Darcy truth,5e-05,0.001,0.0,100.0,1000.0,,Lagging Darcy no-leakage,3.975232415335854e-05,0.001174859301326493,193.08496844527363,1722.098445749366,,-0.22935469677018455,0.16114839687436994,0.31659647179317096,-0.0015581745566085395,0.009145200678182856,-103.42159469759736,-95.93679065396579,4,False,C
lagging_darcy_truth_02,lagging_darcy_truth,calibration,Lagging Darcy truth,5e-05,0.001,0.0,100.0,1000.0,,Lagging Darcy with leakage,6.7796550810566365e-06,0.0006592588406411904,91.35091918058725,2196.94415855855,11.428375442528043,-1.998096777770413,-0.4166390436889553,0.3107027542362459,-0.0004973567358925318,0.009097931313017298,-103.22662343846613,-93.87061838392668,5,False,D
lagging_darcy_truth_03,lagging_darcy_truth,calibration,Lagging Darcy truth,5e-05,0.001,0.0,100.0,1000.0,,Theis fixed-rate,0.0001529558880790274,0.00040169678865504903,,,,1.1181265611850744,-0.9120577320350917,0.42065487488919373,0.004878794528575504,0.05974081566077804,-80.13445534603976,-76.39205332422398,2,False,D
lagging_darcy_truth_03,lagging_darcy_truth,calibration,Lagging Darcy truth,5e-05,0.001,0.0,100.0,1000.0,,Theis schedule-aware,0.0001529558880790274,0.00040169678865504903,,,,1.1181265611850744,-0.9120577320350917,0.42065487488919373,0.004878794528575504,0.05974081566077804,-80.13445534603976,-76.39205332422398,2,False,D
lagging_darcy_truth_03,lagging_darcy_truth,calibration,Lagging Darcy truth,5e-05,0.001,0.0,100.0,1000.0,,Hantush-Jacob leaky,0.0001460698067625277,0.0003990066008382942,,,99999.99999953745,1.072061630523639,-0.9187773187747436,0.4352172647089641,0.0061852365754364175,0.06366736935332233,-74.86401522085963,-69.25041218813595,3,True,D
lagging_darcy_truth_03,lagging_darcy_truth,calibration,Lagging Darcy truth,5e-05,0.001,0.0,100.0,1000.0,,Cooper-Jacob late-time,6.589701888881462e-05,0.0006679516045625733,,,,0.27607019816505723,-0.40353955632961425,0.9465599231823301,0.5315935595036894,0.0199392199664906,11.120073472137406,14.862475493953188,2,False,C
lagging_darcy_truth_03,lagging_darcy_truth,calibration,Lagging Darcy truth,5e-05,0.001,0.0,100.0,1000.0,,Lagging Darcy no-leakage,4.9336412874361405e-05,0.0010345209310987078,162.6136467374309,1192.4404614481896,,-0.013360599151435794,0.03393845105697501,0.30941834667059165,0.0006547737833893843,0.00577128716274472,-105.62420444375059,-98.13940040011902,4,False,B
lagging_darcy_truth_03,lagging_darcy_truth,calibration,Lagging Darcy truth,5e-05,0.001,0.0,100.0,1000.0,,Lagging Darcy with leakage,4.9336426516089845e-05,0.001034520134282486,162.61324957462423,1192.4374674973838,99987.66412520125,-0.013360322647211823,0.033937680829418865,0.30941834683621394,0.0006547617675511224,0.005771283460458975,-103.62420440042172,-94.26819934588227,5,True,C
lagging_darcy_truth_04,lagging_darcy_truth,calibration,Lagging Darcy truth,5e-05,0.001,0.0,100.0,1000.0,,Theis fixed-rate,0.00014766521472477383,0.00042251479095432593,,,,1.0829246433369315,-0.861530824621761,0.4068552424802238,0.002408687902208865,0.058123571138156235,-83.34143683650008,-79.5990348146843,2,False,D
lagging_darcy_truth_04,lagging_darcy_truth,calibration,Lagging Darcy truth,5e-05,0.001,0.0,100.0,1000.0,,Theis schedule-aware,0.00014766521472477383,0.00042251479095432593,,,,1.0829246433369315,-0.861530824621761,0.4068552424802238,0.002408687902208865,0.058123571138156235,-83.34143683650008,-79.5990348146843,2,False,D
lagging_darcy_truth_04,lagging_darcy_truth,calibration,Lagging Darcy truth,5e-05,0.001,0.0,100.0,1000.0,,Hantush-Jacob leaky,0.00014184132621080083,0.00041925172948803957,,,99999.99999995579,1.0426860063420422,-0.8692837530922419,0.42006711981404476,0.0035088345999506484,0.06184054318350168,-78.27185744740689,-72.65825441468321,3,True,D
lagging_darcy_truth_04,lagging_darcy_truth,calibration,Lagging Darcy truth,5e-05,0.001,0.0,100.0,1000.0,,Cooper-Jacob late-time,6.62468388109386e-05,0.0006636159003153185,,,,0.2813647422384338,-0.41005176026073875,0.8995342673739464,0.48699582806012726,0.019373164714617367,5.394084258898934,9.136486280714717,2,False,C
