scenario_id,scenario_class,ensemble_role,well,reference_solution,exactness,radius_m,bias_eta,sd_eta,rmse_m,max_abs_error_m,median_abs_error_m,pass_flag
strict_leakage_07,vertical leakage,ensemble,R20E,Hantush-Jacob analytical,direct baseline,18.027756377319946,0.028507562557879004,0.13016665123561189,0.009494057024131345,0.01944493108406309,0.008087720500877249,False
strict_leakage_07,vertical leakage,ensemble,R50E,Hantush-Jacob analytical,direct baseline,51.478150704935004,0.02827254588068656,0.10015466531765675,0.003252685025675187,0.0071575473546117985,0.0005167182832868061,False
strict_leakage_07,vertical leakage,ensemble,R100E,Hantush-Jacob analytical,direct baseline,98.6154146165801,0.022116818703162573,0.08587788643493305,0.001306345745843096,0.003502156969405937,5.955039600791242e-06,False
strict_leakage_07,vertical leakage,ensemble,R100N,Hantush-Jacob analytical,direct baseline,98.6154146165801,0.022116792061794455,0.0858778745135281,0.0013063453997324036,0.003502156364004312,5.9550621969172965e-06,False
strict_leakage_08,vertical leakage,ensemble,R20E,Hantush-Jacob analytical,direct baseline,21.213203435596427,0.023184455204224474,0.10722553443930746,0.006898956704785821,0.012569487597491935,0.0030597980660033892,False
strict_leakage_08,vertical leakage,ensemble,R50E,Hantush-Jacob analytical,direct baseline,49.49747468305833,0.029161937080226706,0.09837029229854959,0.004574431109231393,0.01016444899849539,0.0006137006653686369,False
strict_leakage_08,vertical leakage,ensemble,R100E,Hantush-Jacob analytical,direct baseline,102.59142264341595,0.03297340075013606,0.09343342380164583,0.0018702465913683815,0.006270014902105547,3.7237115520387132e-06,False
strict_leakage_08,vertical leakage,ensemble,R100N,Hantush-Jacob analytical,direct baseline,102.59142264341595,0.03297338310867935,0.0934334273091243,0.001870244786772886,0.0062700056510348046,3.7237169471018017e-06,False
strict_leakage_09,vertical leakage,ensemble,R20E,Hantush-Jacob analytical,direct baseline,18.027756377319946,0.03877054997479913,0.1272254023139234,0.009659324272805398,0.030439383352729332,0.005518295883167844,False
strict_leakage_09,vertical leakage,ensemble,R50E,Hantush-Jacob analytical,direct baseline,51.478150704935004,0.03386558942789004,0.10266121400649723,0.004448869548961024,0.010588420443029156,0.0005678262259930615,False
strict_leakage_09,vertical leakage,ensemble,R100E,Hantush-Jacob analytical,direct baseline,98.6154146165801,0.03678992477131162,0.09653544348931599,0.0020277036511454414,0.0069767661602681275,6.527615707044982e-06,False
strict_leakage_09,vertical leakage,ensemble,R100N,Hantush-Jacob analytical,direct baseline,98.6154146165801,0.03678991096712858,0.09653544531831469,0.0020277019165743167,0.006976760757387679,6.527637944732405e-06,False
strict_boundary_00,constant head boundary,ensemble,R20E,Theis no-boundary reference,diagnostic only; square first-type boundary is not a single image-well analytical solution,20.0,0.10361341065563623,0.20558992649330232,0.006317986385868802,0.012889246269876087,0.0031151608869975853,
strict_boundary_00,constant head boundary,ensemble,R50E,Theis no-boundary reference,diagnostic only; square first-type boundary is not a single image-well analytical solution,50.0,0.04423511396304196,0.11624761231243645,0.004742786520704481,0.013836433679443483,0.0006855561944878126,
strict_boundary_00,constant head boundary,ensemble,R100E,Theis no-boundary reference,diagnostic only; square first-type boundary is not a single image-well analytical solution,100.0,0.041350622071556146,0.10345876271188174,0.002842385068912661,0.012004675818449384,6.214951703306645e-06,
strict_boundary_00,constant head boundary,ensemble,R100N,Theis no-boundary reference,diagnostic only; square first-type boundary is not a single image-well analytical solution,100.0,0.04135063198235761,0.1034587535618923,0.0028423801349362547,0.0120046475382177,6.214951703306697e-06,
strict_boundary_01,constant head boundary,ensemble,R20E,Theis no-boundary reference,diagnostic only; square first-type boundary is not a single image-well analytical solution,20.615528128088304,0.0693184398614332,0.16273568218583795,0.0069213684877646,0.011966834981479435,0.0034082199103813507,
