scenario_class,pathway,n_scenarios,cov_M_T,cov_M_S,bias_factor_T,bias_factor_S,tail_relative_range_cov_M_T,tail_relative_range_cov_M_S,converged_flag
constant head boundary,Theis confined,2,0.04860785620147185,0.05422013308715697,1.2360441931384563,1.0272180713792176,,,
constant head boundary,Theis confined,3,0.05301903069474244,0.04703818481057382,1.2264539235974237,1.0312003273773305,,,
constant head boundary,Theis confined,4,0.054308785628982614,0.042522810372898,1.2209705990074038,1.0336955548627418,,,
constant head boundary,Theis confined,5,0.053778387807665896,0.04034178975888731,1.2189138514621323,1.0339099331714947,,,
constant head boundary,Theis confined,6,0.05313164097171171,0.04411093208369722,1.2237011525853605,1.032602737176123,,,
constant head boundary,Theis confined,7,0.05230716437697495,0.044026351010357,1.2244057146185459,1.032183661943135,,,
constant head boundary,Theis confined,8,0.05267427867639122,0.04228137079469317,1.2222732381046677,1.0329637482724479,,,
constant head boundary,Theis confined,9,0.053643829829793904,0.04095655812005517,1.220494948666492,1.0340109390529437,,,
constant head boundary,Theis confined,10,0.053723006355888996,0.039781042881587014,1.2191703590175957,1.0344459611151724,0.019521016239308388,0.06285224649712375,True
constant head boundary,Hantush-Jacob leaky,2,0.05747920450589848,0.05957309562505432,1.2270450409369953,1.0237895984530114,,,
constant head boundary,Hantush-Jacob leaky,3,0.06262800844948266,0.05204768420713875,1.2171425812047776,1.027562559523068,,,
constant head boundary,Hantush-Jacob leaky,4,0.06322954501217988,0.04716084654411465,1.2123334042615124,1.0302607652976299,,,
constant head boundary,Hantush-Jacob leaky,5,0.062241967125572825,0.04473892869802394,1.2107498410906417,1.0306378235069247,,,
constant head boundary,Hantush-Jacob leaky,6,0.061406308419223815,0.048674040957775395,1.2152692842635968,1.0292716353925342,,,
constant head boundary,Hantush-Jacob leaky,7,0.060622088785345016,0.048592658384760276,1.2159971479536023,1.0288643907848112,,,
constant head boundary,Hantush-Jacob leaky,8,0.06142417458245836,0.04683854072108437,1.2136909471588722,1.0295603609923984,,,
constant head boundary,Hantush-Jacob leaky,9,0.06218608171117446,0.04538767197447593,1.212118346205521,1.0306668242114558,,,
constant head boundary,Hantush-Jacob leaky,10,0.0625845688057783,0.04422763415047529,1.210652014950159,1.0310369591538473,0.0185412194325577,0.059033376321374544,True
constant head boundary,Lagging Darcy no-leakage,2,0.03384202978163613,0.01172988075033095,1.0647682594326158,1.0377954270954866,,,
constant head boundary,Lagging Darcy no-leakage,3,0.03175476565695179,0.011729558148717005,1.0585766245545123,1.0401936645881429,,,
constant head boundary,Lagging Darcy no-leakage,4,0.029580231274916328,0.010867499417923327,1.0557664433906258,1.0409769159728037,,,
constant head boundary,Lagging Darcy no-leakage,5,0.02786940720354456,0.009795549381520963,1.0542779676313407,1.0406515428811403,,,
constant head boundary,Lagging Darcy no-leakage,6,0.030819660131212432,0.010858230158012348,1.0579370592577249,1.0404867058047245,,,
constant head boundary,Lagging Darcy no-leakage,7,0.029633151093213194,0.010295276636813304,1.05751279509188,1.0398770690454047,,,
constant head boundary,Lagging Darcy no-leakage,8,0.02906810745196756,0.010437771881906232,1.0560910020076892,1.0404591897794049,,,
constant head boundary,Lagging Darcy no-leakage,9,0.028438100299976215,0.010184941400226494,1.0551744816104902,1.0408194370148554,,,
constant head boundary,Lagging Darcy no-leakage,10,0.028019748409832308,0.010281538073590427,1.0542406228610293,1.0411815248398124,0.03741500554542369,0.02459072561615748,True
constant head boundary,Lagging Darcy with leakage,2,0.0223429270230518,0.007039321599205391,1.056234342373603,1.0333505380443042,,,
constant head boundary,Lagging Darcy with leakage,3,0.023338200780909635,0.010021731909487824,1.052913707126342,1.0372210802516708,,,
constant head boundary,Lagging Darcy with leakage,4,0.022757047961293155,0.00979458699121591,1.0515279241169326,1.0387444163828734,,,
constant head boundary,Lagging Darcy with leakage,5,0.022090848858683624,0.008837368051686076,1.0508897596187239,1.0388659839998504,,,
constant head boundary,Lagging Darcy with leakage,6,0.022056968927988318,0.009118038822707515,1.052131941684478,1.0374287317575974,,,
constant head boundary,Lagging Darcy with leakage,7,0.02198500983935038,0.008626585337481486,1.0525375008338924,1.0372565655902646,,,
constant head boundary,Lagging Darcy with leakage,8,0.022184735843744384,0.00920350171635823,1.0517418350377694,1.0381642786319705,,,
constant head boundary,Lagging Darcy with leakage,9,0.022167970812380106,0.00917358361537986,1.0513104113018952,1.0387782217043255,,,
constant head boundary,Lagging Darcy with leakage,10,0.022263010593753872,0.009474272314111557,1.0507642628501983,1.039343687519211,0.004268954595046115,0.031737392462725826,True
heterogeneous K,Theis confined,2,0.09074216569733555,0.11690306868447758,1.2763830427689373,0.9270057847817065,,,
heterogeneous K,Theis confined,3,0.09410387540440403,0.11489279924170523,1.238211270534219,0.9672407351507526,,,
heterogeneous K,Theis confined,4,0.13758857405955763,0.17987194475181886,1.2177040892129116,1.050313673519406,,,
heterogeneous K,Theis confined,5,0.14864227667371036,0.18131825154496994,1.1795157508756733,1.0631381016360761,,,
heterogeneous K,Theis confined,6,0.16323461713508292,0.18498480993061944,1.1665285924279807,1.0860819313860723,,,
heterogeneous K,Theis confined,7,0.15976970715909966,0.18327009610451264,1.1753073906534917,1.08491438498338,,,
heterogeneous K,Theis confined,8,0.23063269016594698,0.3625597401650674,1.1611664454092472,1.1946804220744942,,,
heterogeneous K,Theis confined,9,0.22192008974678015,0.3437325049103022,1.1549728088749716,1.175411113121027,,,
heterogeneous K,Theis confined,10,0.21507665295891154,0.32948439200333907,1.1705836699705516,1.1707484198232305,0.07232787470431427,0.10038517442547981,True
heterogeneous K,Hantush-Jacob leaky,2,0.08533373394224328,0.12005255834097744,1.2630209921907403,0.9229815335548527,,,
heterogeneous K,Hantush-Jacob leaky,3,0.09305281499662617,0.1176245679086979,1.2260894673211131,0.9631501323550311,,,
heterogeneous K,Hantush-Jacob leaky,4,0.13789166979871778,0.18225105191368005,1.2079003453448713,1.0465765485840666,,,
heterogeneous K,Hantush-Jacob leaky,5,0.1497368448467422,0.18354064517064944,1.1703537176570784,1.0594356934829194,,,
heterogeneous K,Hantush-Jacob leaky,6,0.16438258777834955,0.18737484734763551,1.158169611516968,1.0825550799065218,,,
heterogeneous K,Hantush-Jacob leaky,7,0.16187085722304406,0.18590125795243836,1.1668324827073142,1.0813567237248936,,,
heterogeneous K,Hantush-Jacob leaky,8,0.2322867553755514,0.36472476572339424,1.1535508814443511,1.1910816467286518,,,
heterogeneous K,Hantush-Jacob leaky,9,0.2228489870412297,0.3458863734686411,1.1467993030799963,1.171640185159432,,,
heterogeneous K,Hantush-Jacob leaky,10,0.21519264577071542,0.33183610260601276,1.1612683040910405,1.1666605803538157,0.07943630946872368,0.0991111662025214,True
